agenda-php  | [09-Apr-2026 23:33:32] NOTICE: fpm is running, pid 1
agenda-php  | [09-Apr-2026 23:33:32] NOTICE: ready to handle connections
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:33:37 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:33:52 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:34:07 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:34:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:34:38 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:34:53 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:35:08 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:35:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:35:38 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:35:53 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:36:08 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:36:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:36:38 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:36:53 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:37:08 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:37:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:37:38 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:37:53 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:38:08 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:38:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:38:38 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:38:53 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:08 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:13 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:13 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:22 +0000 "POST /index.php" 302
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:22 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:22 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:23 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:33 +0000 "GET /index.php" 302
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:33 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:33 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:39 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:39:54 +0000 "GET /index.php" 200
agenda-php  | 172.18.0.4 -  09/Apr/2026:23:40:09 +0000 "GET /index.php" 200
